model,TrainSize,label_1_dice,label_2_dice,label_3_dice,label_4_dice,label_5_dice,label_6_dice,label_7_dice,label_8_dice,label_9_dice,label_10_dice,label_11_dice
v1_dinov3_vits16,0.1,0.7835823188325864,0.6458658676737021,0.539440262740472,0.8966446759025384,0.74000572258224,0.530010496807134,0.7590708002049681,0.8402871446470929,0.6681753938418012,0.7857160348468096,0.7277911427966123
AG_fullV2_dinov3_vits16,0.1,0.7975430852291598,0.6483995403452905,0.5496605331466011,0.9014195365800578,0.7673113092921946,0.575325362260599,0.8089754693952373,0.8467312849002431,0.729373932674434,0.805390365695179,0.748341620032826
AG_fullV2_dinov3_vits16,2.0,0.8960948385547653,0.8528781103838596,0.806767808061644,0.9513737687232025,0.8789569478060558,0.8433683182762304,0.9086182329252864,0.923071624443401,0.8474935577659563,0.9129098968322844,0.9069778546279624
v1_dinov3_vits16,2.0,0.9054428285146822,0.8442430217979184,0.7577650163317079,0.9400809166020174,0.8787981022707914,0.772343313431588,0.9097964359660846,0.914164656281794,0.8580609592483444,0.9223586460903744,0.900497663116982
VanillaUNet_model,2.0,0.9176010539861168,0.8596680948876775,0.8030987656756562,0.952026167782581,0.8697084761724906,0.8494844212254149,0.9033878006857962,0.9118371919911944,0.8479686925343108,0.9144625368662824,0.905811590498514
VanillaUNet_model,0.1,0.7897152846356272,0.6507878496604992,0.5115672620098372,0.9094600163522032,0.7808751909859059,0.4867225770584126,0.8438989782584128,0.8329369880472166,0.7581079460902673,0.7995562454307824,0.7785725273672455
DinoEncdinov3_vits16,0.1,0.6936024818421874,0.5132463438924697,0.3404458929992233,0.9229248921297324,0.6479833291190363,0.2265754268980876,0.533910815441171,0.6802021652116881,0.3236584988489741,0.6407908075488618,0.5823286306667498
DinoEncdinov3_vits16,2.0,0.8654164820747557,0.7756135064907888,0.7054191268821048,0.949159634993513,0.8248731533120184,0.6435000092499836,0.8465656769358394,0.8580204809443761,0.7410029553102493,0.866162623401275,0.8541802588241992
AG_fullV2_dinov3_vits16,150.0,0.7361904487016602,0.6391573239882333,0.4389001777297337,0.9096699834917168,0.7031016219445809,0.2781270387962194,0.6963422672611776,0.8182553316946669,0.697881689138945,0.7688483021206239,0.7345395122968756
v1_dinov3_vits16,150.0,0.7651,0.6107,0.3715,0.9007,0.7094,0.3536,0.7257,0.8192,0.6927,0.7658,0.7326
VanillaUNet_model,150.0,0.7335897828101258,0.6073183658760779,0.4281508082082251,0.929956775741755,0.6431951964756412,0.3551597162432626,0.7353929392223288,0.8063059207647665,0.704888048818204,0.7653179874942333,0.7095482272035124
DinoEncdinov3_vits16,150.0,0.6571704499773428,0.5345811775896127,0.4743294404601508,0.9228125806722232,0.6108519219699042,0.3009793094756581,0.6015,0.6511950023543082,0.5315928041116328,0.669094028369985,0.5613553560295003
